,total_duration
0,7580
1,2256
2,1460
3,1508
4,1333
5,1380
6,1446
7,1326
8,1569
9,1395
10,1532
11,1384
12,1393
13,1559
14,1384
15,1515
16,1388
17,1524
18,1391
19,1492
20,1622
21,1552
22,1417
23,1676
24,1440
25,1657
26,1566
27,1645
28,1441
29,1707
30,1656
31,1492
32,1656
33,1514
34,1681
35,1502
36,1698
37,1680
38,1611
39,1842
40,1739
41,1517
42,1774
43,1865
44,1816
45,1570
46,1801
47,1896
48,1860
49,1713
50,1687
51,1691
52,1690
53,2010
54,1801
55,1944
56,1769
57,1952
58,1979
59,1686
60,1930
61,2029
62,2000
63,2506
64,1615
65,1393
66,1548
67,1401
68,1378
69,1552
70,1507
71,1578
72,1550
73,1707
74,1722
75,1493
76,1666
77,1606
78,1539
79,1677
80,1448
81,1537
82,1440
83,1562
84,1418
85,1571
86,1418
87,1698
88,1458
89,1680
90,1501
91,1774
92,1760
93,1529
94,1760
95,1768
96,1562
97,1757
98,1839
99,1856
100,1632
101,1888
102,1893
103,1848
104,1877
105,1670
106,2078
107,2091
108,2066
109,2011
110,1925
111,2018
112,2054
113,2037
114,2073
115,2137
116,2088
117,2031
118,2133
119,2614
120,2091
121,2124
122,1915
123,2089
124,2132
125,2158
126,2473
127,3296
128,1712
129,1500
130,1519
131,1460
132,1480
133,1547
134,1450
135,1671
136,1602
137,1528
138,1703
139,1476
140,1712
141,1759
142,1544
143,1653
144,1475
145,1728
146,1633
147,1452
148,1641
149,1479
150,1463
151,1582
152,1699
153,1754
154,1488
155,1827
156,1681
157,1581
158,1828
159,1837
160,1564
161,1882
162,1665
163,1629
164,1978
165,2021
166,1996
167,1984
168,1891
169,2091
170,1971
171,2101
172,2194
173,2120
174,1845
175,2150
176,2128
177,2155
178,2171
179,2467
180,2203
181,2143
182,2166
183,2557
184,2184
185,1982
186,2150
187,2370
188,2802
189,2455
190,2487
191,3940
192,1839
193,1502
194,1579
195,1448
196,1651
197,1473
198,1561
199,1494
200,1626
201,1543
202,1758
203,1713
204,1540
205,1711
206,1678
207,1554
