,get_latency
0,31
1,39
2,14
3,14
4,8
5,9
6,32
7,26
8,61
9,32
10,67
11,30
12,45
13,85
14,47
15,94
16,42
17,98
18,55
19,51
20,111
21,113
22,64
23,147
24,62
25,138
26,65
27,142
28,71
29,152
30,158
31,87
32,162
33,76
34,178
35,94
36,173
37,184
38,102
39,198
40,189
41,147
42,279
43,334
44,275
45,142
46,323
47,318
48,343
49,147
50,192
51,202
52,172
53,348
54,230
55,334
56,235
57,342
58,359
59,177
60,359
61,368
62,381
63,364
64,67
65,24
66,59
67,31
68,38
69,73
70,46
71,87
72,50
73,98
74,110
75,59
76,115
77,117
78,60
79,134
80,70
81,140
82,74
83,164
84,92
85,183
86,88
87,184
88,95
89,200
90,114
91,289
92,309
93,168
94,300
95,294
96,154
97,308
98,334
99,326
100,186
101,355
102,354
103,325
104,335
105,234
106,444
107,427
108,413
109,395
110,414
111,429
112,453
113,478
114,488
115,457
116,429
117,426
118,544
119,752
120,451
121,433
122,284
123,500
124,488
125,501
126,680
127,553
128,88
129,36
130,67
131,43
132,45
133,80
134,50
135,107
136,124
137,64
138,136
139,26
140,143
141,174
142,84
143,160
144,66
145,190
146,189
147,105
148,207
149,112
150,138
151,148
152,301
153,296
154,152
155,362
156,257
157,166
158,338
159,347
160,190
161,357
162,269
163,209
164,420
165,446
166,436
167,458
168,381
169,455
170,430
171,472
172,474
173,465
174,332
175,594
176,532
177,548
178,545
179,724
180,553
181,548
182,545
183,835
184,555
185,419
186,598
187,618
188,999
189,677
190,758
191,595
192,144
193,72
194,89
195,51
196,106
197,62
198,77
199,63
200,133
201,76
202,147
203,162
204,82
205,173
206,143
207,97
