,Q2,Q3,Q4,rawData
0,3292,NaN,NaN,NaN
1,1238,NaN,NaN,NaN
2,782,NaN,NaN,NaN
3,747,NaN,NaN,NaN
4,695,NaN,NaN,NaN
5,674,NaN,NaN,NaN
6,810,NaN,NaN,NaN
7,695,NaN,NaN,NaN
8,877,NaN,NaN,NaN
9,704,NaN,NaN,NaN
10,849,NaN,NaN,NaN
11,721,NaN,NaN,NaN
12,765,NaN,NaN,NaN
13,884,NaN,NaN,NaN
14,793,NaN,NaN,NaN
15,889,NaN,NaN,NaN
16,765,NaN,NaN,NaN
17,885,NaN,NaN,NaN
18,763,NaN,NaN,NaN
19,816,NaN,NaN,NaN
20,935,NaN,NaN,NaN
21,917,NaN,NaN,NaN
22,761,NaN,NaN,NaN
23,996,NaN,NaN,NaN
24,779,NaN,NaN,NaN
25,967,NaN,NaN,NaN
26,774,NaN,NaN,NaN
27,978,NaN,NaN,NaN
28,813,NaN,NaN,NaN
29,960,NaN,NaN,NaN
30,994,NaN,NaN,NaN
31,835,NaN,NaN,NaN
32,1005,NaN,NaN,NaN
33,807,NaN,NaN,NaN
34,1043,NaN,NaN,NaN
35,841,NaN,NaN,NaN
36,1047,NaN,NaN,NaN
37,994,NaN,NaN,NaN
38,926,NaN,NaN,NaN
39,1071,NaN,NaN,NaN
40,1044,NaN,NaN,NaN
41,901,NaN,NaN,NaN
42,1148,NaN,NaN,NaN
43,1232,NaN,NaN,NaN
44,1179,NaN,NaN,NaN
45,904,NaN,NaN,NaN
46,1161,NaN,NaN,NaN
47,1243,NaN,NaN,NaN
48,1197,NaN,NaN,NaN
49,957,NaN,NaN,NaN
50,1022,NaN,NaN,NaN
51,1021,NaN,NaN,NaN
52,995,NaN,NaN,NaN
53,1243,NaN,NaN,NaN
54,1120,NaN,NaN,NaN
55,1266,NaN,NaN,NaN
56,1107,NaN,NaN,NaN
57,1185,NaN,NaN,NaN
58,1289,NaN,NaN,NaN
59,1015,NaN,NaN,NaN
60,1266,NaN,NaN,NaN
61,1292,NaN,NaN,NaN
62,1287,NaN,NaN,NaN
63,1799,NaN,NaN,NaN
64,935,NaN,NaN,NaN
65,693,NaN,NaN,NaN
66,798,NaN,NaN,NaN
67,720,NaN,NaN,NaN
68,698,NaN,NaN,NaN
69,802,NaN,NaN,NaN
70,758,NaN,NaN,NaN
71,856,NaN,NaN,NaN
72,780,NaN,NaN,NaN
73,906,NaN,NaN,NaN
74,948,NaN,NaN,NaN
75,784,NaN,NaN,NaN
76,954,NaN,NaN,NaN
77,903,NaN,NaN,NaN
78,790,NaN,NaN,NaN
79,947,NaN,NaN,NaN
80,760,NaN,NaN,NaN
81,928,NaN,NaN,NaN
82,783,NaN,NaN,NaN
83,946,NaN,NaN,NaN
84,784,NaN,NaN,NaN
85,942,NaN,NaN,NaN
86,781,NaN,NaN,NaN
87,979,NaN,NaN,NaN
88,825,NaN,NaN,NaN
89,1003,NaN,NaN,NaN
90,869,NaN,NaN,NaN
91,1112,NaN,NaN,NaN
92,1139,NaN,NaN,NaN
93,909,NaN,NaN,NaN
94,1107,NaN,NaN,NaN
95,1123,NaN,NaN,NaN
96,888,NaN,NaN,NaN
97,1104,NaN,NaN,NaN
98,1170,NaN,NaN,NaN
99,1208,NaN,NaN,NaN
100,951,NaN,NaN,NaN
101,1180,NaN,NaN,NaN
102,1207,NaN,NaN,NaN
103,1194,NaN,NaN,NaN
104,1176,NaN,NaN,NaN
105,994,NaN,NaN,NaN
106,1351,NaN,NaN,NaN
107,1296,NaN,NaN,NaN
108,1326,NaN,NaN,NaN
109,1309,NaN,NaN,NaN
110,1233,NaN,NaN,NaN
111,1341,NaN,NaN,NaN
112,1367,NaN,NaN,NaN
113,1357,NaN,NaN,NaN
114,1375,NaN,NaN,NaN
115,1277,NaN,NaN,NaN
116,1321,NaN,NaN,NaN
117,1269,NaN,NaN,NaN
118,1422,NaN,NaN,NaN
119,1812,NaN,NaN,NaN
120,1397,NaN,NaN,NaN
121,1327,NaN,NaN,NaN
122,1148,NaN,NaN,NaN
123,1364,NaN,NaN,NaN
