,total_duration
0,5603
1,2241
2,1678
3,1552
4,1422
5,1430
6,1332
7,1348
8,1315
9,1398
10,1347
11,1309
12,1281
13,1348
14,1423
15,1314
16,1386
17,1394
18,1340
19,1420
20,1371
21,1431
22,1542
23,1415
24,1529
25,1322
26,1641
27,1415
28,1695
29,1352
30,1441
31,1522
32,1563
33,1375
34,1600
35,1420
36,1595
37,1333
38,1581
39,1984
40,1909
41,1615
42,1596
43,1543
44,1698
45,1498
46,1745
47,1532
48,1609
49,1616
50,1481
51,1692
52,1466
53,2104
54,1650
55,1700
56,1815
57,1936
58,1753
59,3101
60,2625
61,1633
62,2265
63,2760
64,3215
65,1407
66,1441
67,1564
68,1396
69,1476
70,1463
71,1360
72,1418
73,1633
74,1673
75,1775
76,1532
77,1835
78,1464
79,1435
80,2044
81,1394
82,1488
83,1251
84,1387
85,1277
86,1274
87,1487
88,1613
89,1604
90,1313
91,1676
92,1540
93,1574
94,1471
95,2115
96,1697
97,1403
98,1460
99,1397
100,2495
101,1849
102,2493
103,2377
104,2024
105,2379
106,2129
107,2363
108,2479
109,1677
110,2361
111,2249
112,2199
113,1715
114,1934
115,1553
116,1556
117,1406
118,2391
119,3335
120,2944
121,2955
122,3109
123,1906
124,2463
125,1801
126,1768
127,1936
128,2728
129,1733
130,1594
131,1601
132,1596
133,1451
134,1644
135,1383
136,1616
137,1371
138,1557
139,1720
140,2007
141,1671
142,1483
143,1529
144,1983
145,1676
146,1610
147,1586
148,1360
149,1795
150,2114
151,1877
152,1610
153,1717
154,1430
155,1871
156,1936
157,1449
158,1504
159,2178
160,2229
161,1567
162,1865
163,1904
164,2011
165,1897
166,1514
167,1574
168,1624
169,2018
170,1703
171,1574
172,2692
173,2787
174,2443
175,2477
176,2951
177,2729
178,2895
179,3118
180,2190
181,2303
182,3220
183,2220
184,3339
185,3300
186,3547
