,get_latency
0,0
1,9
2,9
3,14
4,5
5,15
6,7
7,11
8,8
9,6
10,17
11,5
12,5
13,15
14,25
15,12
16,35
17,38
18,24
19,33
20,39
21,58
22,72
23,65
24,103
25,4
26,140
27,64
28,167
29,6
30,75
31,73
32,133
33,30
34,132
35,67
36,134
37,14
38,78
39,292
40,228
41,60
42,85
43,108
44,186
45,103
46,220
47,87
48,107
49,128
50,70
51,172
52,23
53,390
54,147
55,164
56,185
57,264
58,230
59,1006
60,759
61,138
62,522
63,701
64,698
65,15
66,26
67,49
68,33
69,56
70,22
71,4
72,19
73,104
74,110
75,138
76,64
77,206
78,51
79,48
80,322
81,79
82,122
83,16
84,84
85,12
86,21
87,127
88,212
89,194
90,41
91,201
92,169
93,167
94,101
95,442
96,238
97,79
98,110
99,9
100,748
101,331
102,709
103,595
104,419
105,604
106,455
107,644
108,676
109,134
110,603
111,610
112,586
113,231
114,429
115,165
116,100
117,5
118,660
119,1204
120,932
121,986
122,1092
123,362
124,703
125,300
126,224
127,196
128,269
129,74
130,81
131,90
132,76
133,58
134,122
135,13
136,110
137,32
138,57
139,151
140,148
141,113
142,36
143,108
144,304
145,216
146,220
147,180
148,66
149,317
150,472
151,362
152,227
153,213
154,100
155,377
156,362
157,120
158,170
159,518
160,564
161,203
162,330
163,365
164,470
165,345
166,120
167,170
168,187
169,433
170,173
171,196
172,789
173,857
174,727
175,657
176,1121
177,870
178,1027
179,1198
180,547
181,671
182,1214
183,619
184,1250
185,1277
186,1472
