,Q2,Q3,Q4,rawData
0,2176,NaN,NaN,NaN
1,1193,NaN,NaN,NaN
2,899,NaN,NaN,NaN
3,831,NaN,NaN,NaN
4,690,NaN,NaN,NaN
5,773,NaN,NaN,NaN
6,666,NaN,NaN,NaN
7,677,NaN,NaN,NaN
8,702,NaN,NaN,NaN
9,709,NaN,NaN,NaN
10,703,NaN,NaN,NaN
11,649,NaN,NaN,NaN
12,643,NaN,NaN,NaN
13,715,NaN,NaN,NaN
14,742,NaN,NaN,NaN
15,704,NaN,NaN,NaN
16,765,NaN,NaN,NaN
17,724,NaN,NaN,NaN
18,724,NaN,NaN,NaN
19,699,NaN,NaN,NaN
20,714,NaN,NaN,NaN
21,759,NaN,NaN,NaN
22,851,NaN,NaN,NaN
23,797,NaN,NaN,NaN
24,896,NaN,NaN,NaN
25,673,NaN,NaN,NaN
26,1009,NaN,NaN,NaN
27,790,NaN,NaN,NaN
28,1011,NaN,NaN,NaN
29,688,NaN,NaN,NaN
30,793,NaN,NaN,NaN
31,815,NaN,NaN,NaN
32,914,NaN,NaN,NaN
33,732,NaN,NaN,NaN
34,938,NaN,NaN,NaN
35,781,NaN,NaN,NaN
36,960,NaN,NaN,NaN
37,676,NaN,NaN,NaN
38,848,NaN,NaN,NaN
39,1249,NaN,NaN,NaN
40,1183,NaN,NaN,NaN
41,871,NaN,NaN,NaN
42,934,NaN,NaN,NaN
43,881,NaN,NaN,NaN
44,996,NaN,NaN,NaN
45,875,NaN,NaN,NaN
46,1103,NaN,NaN,NaN
47,867,NaN,NaN,NaN
48,954,NaN,NaN,NaN
49,940,NaN,NaN,NaN
50,844,NaN,NaN,NaN
51,1061,NaN,NaN,NaN
52,770,NaN,NaN,NaN
53,1409,NaN,NaN,NaN
54,957,NaN,NaN,NaN
55,991,NaN,NaN,NaN
56,1108,NaN,NaN,NaN
57,1217,NaN,NaN,NaN
58,1079,NaN,NaN,NaN
59,2336,NaN,NaN,NaN
60,1898,NaN,NaN,NaN
61,913,NaN,NaN,NaN
62,1517,NaN,NaN,NaN
63,1805,NaN,NaN,NaN
64,2045,NaN,NaN,NaN
65,701,NaN,NaN,NaN
66,750,NaN,NaN,NaN
67,824,NaN,NaN,NaN
68,696,NaN,NaN,NaN
69,767,NaN,NaN,NaN
70,685,NaN,NaN,NaN
71,638,NaN,NaN,NaN
72,691,NaN,NaN,NaN
73,901,NaN,NaN,NaN
74,871,NaN,NaN,NaN
75,1024,NaN,NaN,NaN
76,764,NaN,NaN,NaN
77,1116,NaN,NaN,NaN
