,Q2,Q3,Q4,rawData
0,NaN,NaN,10084,NaN
1,NaN,NaN,2376,NaN
2,NaN,NaN,1672,NaN
3,NaN,NaN,1812,NaN
4,NaN,NaN,1532,NaN
5,NaN,NaN,1578,NaN
6,NaN,NaN,1673,NaN
7,NaN,NaN,1966,NaN
8,NaN,NaN,1589,NaN
9,NaN,NaN,1664,NaN
10,NaN,NaN,1801,NaN
11,NaN,NaN,1695,NaN
12,NaN,NaN,1975,NaN
13,NaN,NaN,1669,NaN
14,NaN,NaN,1643,NaN
15,NaN,NaN,1745,NaN
16,NaN,NaN,1782,NaN
17,NaN,NaN,1773,NaN
18,NaN,NaN,1866,NaN
19,NaN,NaN,1886,NaN
20,NaN,NaN,1832,NaN
21,NaN,NaN,1987,NaN
22,NaN,NaN,1977,NaN
23,NaN,NaN,2110,NaN
24,NaN,NaN,1887,NaN
25,NaN,NaN,2136,NaN
26,NaN,NaN,1998,NaN
27,NaN,NaN,2259,NaN
28,NaN,NaN,2011,NaN
29,NaN,NaN,2064,NaN
30,NaN,NaN,2185,NaN
31,NaN,NaN,2420,NaN
32,NaN,NaN,2332,NaN
33,NaN,NaN,2415,NaN
34,NaN,NaN,2244,NaN
35,NaN,NaN,2374,NaN
36,NaN,NaN,2230,NaN
37,NaN,NaN,2223,NaN
38,NaN,NaN,2289,NaN
39,NaN,NaN,2488,NaN
40,NaN,NaN,2366,NaN
41,NaN,NaN,2388,NaN
42,NaN,NaN,2639,NaN
43,NaN,NaN,2543,NaN
44,NaN,NaN,2655,NaN
45,NaN,NaN,2589,NaN
46,NaN,NaN,2654,NaN
47,NaN,NaN,2735,NaN
48,NaN,NaN,2744,NaN
49,NaN,NaN,2645,NaN
50,NaN,NaN,2689,NaN
51,NaN,NaN,2860,NaN
52,NaN,NaN,2849,NaN
53,NaN,NaN,2961,NaN
54,NaN,NaN,3131,NaN
55,NaN,NaN,3146,NaN
56,NaN,NaN,3182,NaN
57,NaN,NaN,3168,NaN
58,NaN,NaN,3179,NaN
59,NaN,NaN,3185,NaN
60,NaN,NaN,3059,NaN
61,NaN,NaN,3080,NaN
62,NaN,NaN,3088,NaN
63,NaN,NaN,3425,NaN
64,NaN,NaN,3360,NaN
65,NaN,NaN,3285,NaN
66,NaN,NaN,3407,NaN
67,NaN,NaN,3711,NaN
68,NaN,NaN,3470,NaN
69,NaN,NaN,3366,NaN
70,NaN,NaN,3471,NaN
71,NaN,NaN,3588,NaN
72,NaN,NaN,3729,NaN
73,NaN,NaN,3779,NaN
74,NaN,NaN,3718,NaN
75,NaN,NaN,3972,NaN
76,NaN,NaN,3901,NaN
77,NaN,NaN,3872,NaN
78,NaN,NaN,3894,NaN
79,NaN,NaN,4330,NaN
80,NaN,NaN,4058,NaN
81,NaN,NaN,4118,NaN
82,NaN,NaN,4381,NaN
83,NaN,NaN,4486,NaN
84,NaN,NaN,4197,NaN
85,NaN,NaN,4564,NaN
86,NaN,NaN,4382,NaN
87,NaN,NaN,4796,NaN
88,NaN,NaN,4548,NaN
89,NaN,NaN,4664,NaN
90,NaN,NaN,4599,NaN
91,NaN,NaN,4957,NaN
92,NaN,NaN,4960,NaN
93,NaN,NaN,4912,NaN
94,NaN,NaN,4804,NaN
95,NaN,NaN,5198,NaN
96,NaN,NaN,6167,NaN
97,NaN,NaN,5202,NaN
98,NaN,NaN,5337,NaN
99,NaN,NaN,5699,NaN
100,NaN,NaN,5556,NaN
101,NaN,NaN,6399,NaN
102,NaN,NaN,5486,NaN
103,NaN,NaN,6163,NaN
104,NaN,NaN,6690,NaN
105,NaN,NaN,5812,NaN
106,NaN,NaN,6200,NaN
107,NaN,NaN,7052,NaN
108,NaN,NaN,6252,NaN
109,NaN,NaN,6356,NaN
110,NaN,NaN,7116,NaN
111,NaN,NaN,6707,NaN
112,NaN,NaN,7082,NaN
113,NaN,NaN,6668,NaN
114,NaN,NaN,7283,NaN
115,NaN,NaN,8045,NaN
116,NaN,NaN,7265,NaN
117,NaN,NaN,8149,NaN
118,NaN,NaN,7237,NaN
119,NaN,NaN,8176,NaN
120,NaN,NaN,8016,NaN
121,NaN,NaN,7752,NaN
122,NaN,NaN,8196,NaN
123,NaN,NaN,9026,NaN
124,NaN,NaN,8023,NaN
125,NaN,NaN,8743,NaN
126,NaN,NaN,9065,NaN
127,NaN,NaN,9317,NaN
128,NaN,NaN,8897,NaN
129,NaN,NaN,9477,NaN
130,NaN,NaN,9098,NaN
131,NaN,NaN,9813,NaN
132,NaN,NaN,9721,NaN
133,NaN,NaN,9626,NaN
134,NaN,NaN,9635,NaN
135,NaN,NaN,10631,NaN
136,NaN,NaN,10320,NaN
137,NaN,NaN,10943,NaN
138,NaN,NaN,10116,NaN
139,NaN,NaN,10964,NaN
140,NaN,NaN,11201,NaN
141,NaN,NaN,10434,NaN
142,NaN,NaN,11030,NaN
143,NaN,NaN,11754,NaN
144,NaN,NaN,11072,NaN
145,NaN,NaN,11884,NaN
146,NaN,NaN,12088,NaN
147,NaN,NaN,13467,NaN
148,NaN,NaN,11938,NaN
149,NaN,NaN,11996,NaN
150,NaN,NaN,12994,NaN
151,NaN,NaN,13304,NaN
152,NaN,NaN,14128,NaN
153,NaN,NaN,12884,NaN
154,NaN,NaN,13214,NaN
155,NaN,NaN,15030,NaN
156,NaN,NaN,13820,NaN
157,NaN,NaN,14639,NaN
158,NaN,NaN,14227,NaN
159,NaN,NaN,15708,NaN
160,NaN,NaN,14716,NaN
161,NaN,NaN,15664,NaN
162,NaN,NaN,15341,NaN
163,NaN,NaN,17065,NaN
164,NaN,NaN,15825,NaN
165,NaN,NaN,16868,NaN
166,NaN,NaN,16037,NaN
167,NaN,NaN,18528,NaN
168,NaN,NaN,16680,NaN
169,NaN,NaN,18386,NaN
170,NaN,NaN,17613,NaN
171,NaN,NaN,19358,NaN
172,NaN,NaN,17861,NaN
173,NaN,NaN,19638,NaN
174,NaN,NaN,18649,NaN
175,NaN,NaN,20285,NaN
176,NaN,NaN,19417,NaN
177,NaN,NaN,20310,NaN
178,NaN,NaN,19815,NaN
179,NaN,NaN,21473,NaN
180,NaN,NaN,20738,NaN
