,get_latency
0,0
1,6
2,5
3,8
4,6
5,14
6,8
7,11
8,19
9,12
10,28
11,14
12,21
13,38
14,16
15,18
16,47
17,6
18,25
19,18
20,14
21,41
22,25
23,50
24,24
25,34
26,56
27,32
28,40
29,76
30,35
31,84
32,32
33,19
34,17
35,24
36,19
37,16
38,47
39,23
40,29
41,56
42,35
43,66
44,40
45,76
46,28
47,88
48,30
49,20
50,15
51,15
52,30
53,19
54,38
55,40
56,39
57,6
58,77
59,9
60,64
61,119
62,20
63,59
64,87
65,16
66,18
67,23
68,45
69,31
70,62
71,33
72,80
73,39
74,45
75,90
76,49
77,116
78,70
79,134
80,101
81,26
82,17
83,24
84,50
85,31
86,56
87,36
88,73
89,41
90,91
91,47
92,52
93,112
94,54
95,108
96,47
97,29
98,22
99,42
100,23
101,29
102,59
103,37
104,35
105,82
106,47
107,96
108,56
109,108
110,56
111,143
112,64
113,33
114,49
115,32
116,64
117,41
118,50
119,86
120,53
121,102
122,59
123,108
124,79
125,150
126,177
127,84
128,129
129,33
130,47
131,29
132,37
133,70
134,45
135,40
136,88
137,56
138,62
139,125
140,66
141,157
142,72
143,176
144,72
145,52
146,24
147,28
148,36
149,33
150,43
151,79
152,45
153,85
154,50
155,120
156,67
157,133
158,16
159,155
160,64
161,53
162,16
163,53
164,32
165,67
166,41
167,93
168,19
169,94
170,54
171,103
172,56
173,61
174,121
175,83
176,132
177,40
178,42
179,25
180,31
181,66
182,38
183,46
184,91
185,56
186,113
187,76
188,153
189,85
190,163
191,91
192,148
193,69
194,34
195,74
196,41
197,88
198,49
199,123
200,58
201,125
202,69
203,148
204,85
205,173
206,171
207,106
208,159
209,70
210,53
211,31
212,45
213,82
214,46
215,50
216,119
217,71
218,128
219,81
220,160
221,90
222,190
223,100
224,146
225,71
226,34
227,43
228,44
229,90
230,48
231,61
232,127
233,82
234,80
235,76
236,146
237,88
238,178
239,183
240,94
241,68
242,64
243,34
244,36
245,85
246,50
247,109
248,66
249,72
250,139
251,85
252,157
253,88
254,171
255,94
256,113
257,65
258,52
259,38
260,78
261,47
262,53
263,79
264,59
265,126
266,72
267,162
268,78
269,174
270,182
271,7
272,188
273,83
274,73
275,84
276,50
277,105
278,58
279,129
280,76
281,139
282,87
283,185
284,101
285,196
286,100
287,219
288,134
289,82
290,66
291,48
292,100
293,57
294,55
295,133
296,79
297,163
298,80
299,177
300,97
301,201
302,216
303,110
304,180
305,100
306,32
307,75
308,46
309,96
310,60
311,128
312,70
313,134
314,164
315,82
316,177
317,101
318,205
319,92
320,270
321,85
322,63
323,42
324,51
325,107
326,63
327,129
328,68
329,142
330,75
331,176
332,96
333,198
334,109
335,218
336,174
337,105
338,68
339,33
340,88
341,56
342,70
343,118
344,131
345,69
346,151
347,86
348,161
349,96
350,192
351,208
352,165
353,109
354,37
355,75
356,43
357,99
358,66
