,Q2,Q3,Q4,rawData
0,2215,NaN,NaN,NaN
1,1115,NaN,NaN,NaN
2,784,NaN,NaN,NaN
3,760,NaN,NaN,NaN
4,654,NaN,NaN,NaN
5,753,NaN,NaN,NaN
6,705,NaN,NaN,NaN
7,669,NaN,NaN,NaN
8,763,NaN,NaN,NaN
9,675,NaN,NaN,NaN
10,770,NaN,NaN,NaN
11,678,NaN,NaN,NaN
12,716,NaN,NaN,NaN
13,802,NaN,NaN,NaN
14,679,NaN,NaN,NaN
15,724,NaN,NaN,NaN
16,896,NaN,NaN,NaN
17,659,NaN,NaN,NaN
18,762,NaN,NaN,NaN
19,699,NaN,NaN,NaN
20,715,NaN,NaN,NaN
21,797,NaN,NaN,NaN
22,684,NaN,NaN,NaN
23,796,NaN,NaN,NaN
24,696,NaN,NaN,NaN
25,722,NaN,NaN,NaN
26,789,NaN,NaN,NaN
27,709,NaN,NaN,NaN
28,768,NaN,NaN,NaN
29,820,NaN,NaN,NaN
30,711,NaN,NaN,NaN
31,855,NaN,NaN,NaN
32,836,NaN,NaN,NaN
33,727,NaN,NaN,NaN
34,686,NaN,NaN,NaN
35,732,NaN,NaN,NaN
36,689,NaN,NaN,NaN
37,665,NaN,NaN,NaN
38,776,NaN,NaN,NaN
39,680,NaN,NaN,NaN
40,703,NaN,NaN,NaN
41,831,NaN,NaN,NaN
42,749,NaN,NaN,NaN
43,835,NaN,NaN,NaN
44,753,NaN,NaN,NaN
45,848,NaN,NaN,NaN
46,725,NaN,NaN,NaN
47,872,NaN,NaN,NaN
48,888,NaN,NaN,NaN
49,760,NaN,NaN,NaN
50,662,NaN,NaN,NaN
51,695,NaN,NaN,NaN
52,734,NaN,NaN,NaN
53,682,NaN,NaN,NaN
54,706,NaN,NaN,NaN
55,748,NaN,NaN,NaN
56,735,NaN,NaN,NaN
57,620,NaN,NaN,NaN
58,827,NaN,NaN,NaN
59,639,NaN,NaN,NaN
60,759,NaN,NaN,NaN
61,866,NaN,NaN,NaN
62,676,NaN,NaN,NaN
63,802,NaN,NaN,NaN
64,1029,NaN,NaN,NaN
65,696,NaN,NaN,NaN
66,678,NaN,NaN,NaN
67,688,NaN,NaN,NaN
68,790,NaN,NaN,NaN
69,709,NaN,NaN,NaN
70,790,NaN,NaN,NaN
71,729,NaN,NaN,NaN
72,861,NaN,NaN,NaN
73,700,NaN,NaN,NaN
74,738,NaN,NaN,NaN
75,833,NaN,NaN,NaN
76,701,NaN,NaN,NaN
77,892,NaN,NaN,NaN
78,761,NaN,NaN,NaN
79,961,NaN,NaN,NaN
80,1133,NaN,NaN,NaN
81,713,NaN,NaN,NaN
82,722,NaN,NaN,NaN
83,730,NaN,NaN,NaN
84,815,NaN,NaN,NaN
85,725,NaN,NaN,NaN
86,818,NaN,NaN,NaN
87,737,NaN,NaN,NaN
88,818,NaN,NaN,NaN
89,776,NaN,NaN,NaN
90,862,NaN,NaN,NaN
91,725,NaN,NaN,NaN
92,755,NaN,NaN,NaN
93,835,NaN,NaN,NaN
94,753,NaN,NaN,NaN
95,899,NaN,NaN,NaN
96,1060,NaN,NaN,NaN
97,737,NaN,NaN,NaN
98,677,NaN,NaN,NaN
99,766,NaN,NaN,NaN
100,685,NaN,NaN,NaN
101,686,NaN,NaN,NaN
102,798,NaN,NaN,NaN
103,700,NaN,NaN,NaN
104,684,NaN,NaN,NaN
105,833,NaN,NaN,NaN
106,754,NaN,NaN,NaN
107,868,NaN,NaN,NaN
108,744,NaN,NaN,NaN
109,839,NaN,NaN,NaN
110,763,NaN,NaN,NaN
111,949,NaN,NaN,NaN
112,1141,NaN,NaN,NaN
113,739,NaN,NaN,NaN
114,771,NaN,NaN,NaN
115,693,NaN,NaN,NaN
116,815,NaN,NaN,NaN
117,679,NaN,NaN,NaN
118,733,NaN,NaN,NaN
119,815,NaN,NaN,NaN
120,698,NaN,NaN,NaN
121,842,NaN,NaN,NaN
122,759,NaN,NaN,NaN
123,885,NaN,NaN,NaN
124,775,NaN,NaN,NaN
125,945,NaN,NaN,NaN
126,983,NaN,NaN,NaN
127,928,NaN,NaN,NaN
128,1388,NaN,NaN,NaN
129,748,NaN,NaN,NaN
130,752,NaN,NaN,NaN
131,718,NaN,NaN,NaN
132,681,NaN,NaN,NaN
133,795,NaN,NaN,NaN
134,699,NaN,NaN,NaN
135,678,NaN,NaN,NaN
136,804,NaN,NaN,NaN
137,727,NaN,NaN,NaN
138,742,NaN,NaN,NaN
139,834,NaN,NaN,NaN
140,763,NaN,NaN,NaN
141,916,NaN,NaN,NaN
142,763,NaN,NaN,NaN
143,1022,NaN,NaN,NaN
144,1259,NaN,NaN,NaN
145,810,NaN,NaN,NaN
146,688,NaN,NaN,NaN
147,720,NaN,NaN,NaN
148,677,NaN,NaN,NaN
149,732,NaN,NaN,NaN
150,699,NaN,NaN,NaN
151,829,NaN,NaN,NaN
152,684,NaN,NaN,NaN
153,852,NaN,NaN,NaN
154,729,NaN,NaN,NaN
155,887,NaN,NaN,NaN
156,758,NaN,NaN,NaN
157,930,NaN,NaN,NaN
158,627,NaN,NaN,NaN
159,999,NaN,NaN,NaN
160,1345,NaN,NaN,NaN
161,859,NaN,NaN,NaN
162,745,NaN,NaN,NaN
163,797,NaN,NaN,NaN
164,747,NaN,NaN,NaN
165,830,NaN,NaN,NaN
166,756,NaN,NaN,NaN
167,903,NaN,NaN,NaN
168,681,NaN,NaN,NaN
169,822,NaN,NaN,NaN
170,709,NaN,NaN,NaN
171,803,NaN,NaN,NaN
172,705,NaN,NaN,NaN
173,766,NaN,NaN,NaN
174,882,NaN,NaN,NaN
175,839,NaN,NaN,NaN
176,1550,NaN,NaN,NaN
177,767,NaN,NaN,NaN
