,total_duration
0,5730
1,2117
2,1414
3,1455
4,1336
5,1421
6,1416
7,1401
8,1391
9,1386
10,1422
11,1429
12,1348
13,1496
14,1373
15,1380
16,1529
17,1344
18,1533
19,1473
20,1501
21,1392
22,1383
23,1587
24,1394
25,1561
26,1472
27,1566
28,1427
29,1658
30,1459
31,1605
32,1443
33,1687
34,1643
35,1469
36,1650
37,1509
38,1676
39,1608
40,1848
41,1757
42,1716
43,1488
44,1719
45,1465
46,1730
47,1670
48,1580
49,1783
50,1750
51,1550
52,1844
53,1944
54,1906
55,1691
56,1951
57,1951
58,1726
59,1765
60,1915
61,1760
62,1901
63,2122
64,2279
65,1490
66,1470
67,1408
68,1451
69,1477
70,1557
71,1521
72,1561
73,1487
74,1579
75,1519
76,1664
77,1569
78,1596
79,1642
80,1495
81,1677
82,1470
83,1549
84,1410
85,1604
86,1385
87,1593
88,1441
89,1676
90,1421
91,1611
92,1452
93,1700
94,1661
95,1512
96,1681
97,1527
98,1732
99,1822
100,1547
101,1886
102,1871
103,2018
104,1911
105,1912
106,1633
107,1891
108,1950
109,2002
110,1997
111,2343
112,2032
113,1988
114,2109
115,2070
116,2043
117,2087
118,2173
119,2350
120,2045
121,2198
122,2197
123,2131
124,2198
125,2430
126,2172
127,2476
128,3496
129,1524
130,1545
131,1391
132,1406
133,1503
134,1442
135,1546
136,1506
137,1506
138,1457
139,1636
140,1472
141,1617
142,1594
143,1702
144,1786
145,1524
146,1947
147,1735
148,1679
149,1490
150,1645
151,1439
152,1640
153,1500
154,1647
155,1677
156,1370
157,1739
158,1492
159,1767
160,1745
161,1545
162,1801
163,1895
164,1931
165,1642
166,1926
167,1720
168,2032
169,2078
170,2035
171,1910
172,2014
173,2116
174,2050
175,2101
176,2236
177,2031
178,2144
179,2160
180,2240
181,2708
182,2186
183,2282
184,2704
185,2218
186,2822
187,2334
188,2693
189,2406
190,2882
191,3109
192,3918
193,1616
194,1404
195,1494
196,1464
197,1539
198,1436
199,1611
200,1497
201,1559
202,1507
203,1560
204,1538
205,1701
206,1578
207,1750
208,1696
209,1566
210,1722
211,1559
212,1436
213,1668
214,1440
215,1649
216,1474
217,1736
218,1703
219,1594
220,1576
221,1547
222,1756
223,1864
224,1840
225,1541
226,1855
227,1799
228,1593
229,1904
230,1910
231,1985
232,2008
233,1996
234,1972
235,1772
236,2108
237,2164
238,2211
239,2250
240,2112
241,2270
242,2513
243,2173
244,2106
245,2229
246,2253
247,2645
248,2292
249,2740
250,2324
251,2835
252,2383
253,2874
254,2999
255,3807
256,4489
257,1799
258,1515
259,1424
260,1576
261,1433
262,1580
263,1491
264,1698
265,1593
266,1675
267,1708
268,1564
269,1744
270,1565
271,1624
272,1669
273,1479
274,1682
275,1475
276,1717
277,1731
278,1525
279,1863
280,1807
281,1625
282,1847
283,1833
284,1862
285,1896
286,1642
287,1913
288,1941
289,1952
290,1968
291,1954
292,1981
293,1981
294,1936
295,2067
296,2017
297,2050
298,2117
299,2154
300,2090
301,2053
302,2150
303,2048
304,2193
305,2127
306,2658
307,2172
308,2260
309,2651
310,2206
311,2306
312,2738
313,2345
314,2859
315,3044
316,3044
317,3138
318,3133
319,3808
320,6077
321,2004
322,1607
323,1470
324,1644
325,1524
326,1612
327,1481
328,1722
329,1730
330,1529
331,1728
332,1563
333,1707
334,1791
335,1787
336,1570
337,1784
338,1845
339,1667
340,1891
341,1916
342,1898
343,1927
344,1911
345,1919
346,1735
347,1964
348,2006
349,2039
350,2097
351,2076
352,2073
353,2085
354,2125
355,2572
356,2145
357,2217
358,2210
359,2475
