,Q2,Q3,Q4,rawData
0,5809,NaN,NaN,NaN
1,2221,NaN,NaN,NaN
2,1405,NaN,NaN,NaN
3,1503,NaN,NaN,NaN
4,1490,NaN,NaN,NaN
5,1541,NaN,NaN,NaN
6,1349,NaN,NaN,NaN
7,1466,NaN,NaN,NaN
8,1355,NaN,NaN,NaN
9,1423,NaN,NaN,NaN
10,1461,NaN,NaN,NaN
11,1508,NaN,NaN,NaN
12,1677,NaN,NaN,NaN
13,1411,NaN,NaN,NaN
14,1337,NaN,NaN,NaN
15,1448,NaN,NaN,NaN
16,1466,NaN,NaN,NaN
17,1530,NaN,NaN,NaN
18,1621,NaN,NaN,NaN
19,1292,NaN,NaN,NaN
20,1305,NaN,NaN,NaN
21,1599,NaN,NaN,NaN
22,1582,NaN,NaN,NaN
23,1901,NaN,NaN,NaN
24,1356,NaN,NaN,NaN
25,1747,NaN,NaN,NaN
26,1341,NaN,NaN,NaN
27,1384,NaN,NaN,NaN
28,1836,NaN,NaN,NaN
29,1402,NaN,NaN,NaN
30,1900,NaN,NaN,NaN
31,1569,NaN,NaN,NaN
32,1536,NaN,NaN,NaN
33,1429,NaN,NaN,NaN
34,1567,NaN,NaN,NaN
35,1312,NaN,NaN,NaN
36,1391,NaN,NaN,NaN
37,1307,NaN,NaN,NaN
38,1416,NaN,NaN,NaN
39,1507,NaN,NaN,NaN
40,1554,NaN,NaN,NaN
41,1381,NaN,NaN,NaN
42,1423,NaN,NaN,NaN
43,1367,NaN,NaN,NaN
44,1451,NaN,NaN,NaN
45,1781,NaN,NaN,NaN
46,1480,NaN,NaN,NaN
47,1639,NaN,NaN,NaN
48,1413,NaN,NaN,NaN
49,1502,NaN,NaN,NaN
50,1639,NaN,NaN,NaN
51,1262,NaN,NaN,NaN
52,1266,NaN,NaN,NaN
53,1482,NaN,NaN,NaN
54,1481,NaN,NaN,NaN
55,1655,NaN,NaN,NaN
56,2234,NaN,NaN,NaN
57,1437,NaN,NaN,NaN
58,1452,NaN,NaN,NaN
59,1474,NaN,NaN,NaN
60,1473,NaN,NaN,NaN
61,1575,NaN,NaN,NaN
62,1741,NaN,NaN,NaN
63,1568,NaN,NaN,NaN
64,2017,NaN,NaN,NaN
65,1547,NaN,NaN,NaN
66,1499,NaN,NaN,NaN
67,1594,NaN,NaN,NaN
68,1444,NaN,NaN,NaN
69,1413,NaN,NaN,NaN
70,1368,NaN,NaN,NaN
71,1373,NaN,NaN,NaN
72,1488,NaN,NaN,NaN
73,1585,NaN,NaN,NaN
74,1527,NaN,NaN,NaN
75,1731,NaN,NaN,NaN
76,1309,NaN,NaN,NaN
77,1612,NaN,NaN,NaN
78,1452,NaN,NaN,NaN
79,1710,NaN,NaN,NaN
80,1692,NaN,NaN,NaN
81,1800,NaN,NaN,NaN
82,1987,NaN,NaN,NaN
83,1627,NaN,NaN,NaN
84,1287,NaN,NaN,NaN
85,1675,NaN,NaN,NaN
86,1468,NaN,NaN,NaN
87,1463,NaN,NaN,NaN
88,1717,NaN,NaN,NaN
89,1758,NaN,NaN,NaN
90,1869,NaN,NaN,NaN
91,1445,NaN,NaN,NaN
92,1878,NaN,NaN,NaN
93,1477,NaN,NaN,NaN
94,1491,NaN,NaN,NaN
95,1607,NaN,NaN,NaN
96,1862,NaN,NaN,NaN
97,1378,NaN,NaN,NaN
98,1679,NaN,NaN,NaN
99,1440,NaN,NaN,NaN
100,1653,NaN,NaN,NaN
101,1503,NaN,NaN,NaN
102,1738,NaN,NaN,NaN
103,1415,NaN,NaN,NaN
