,total_duration
0,7983
1,2072
2,1539
3,1749
4,1456
5,1340
6,1649
7,1424
8,1330
9,1305
10,1377
11,1456
12,1374
13,1654
14,1765
15,1671
16,1408
17,1509
18,1427
19,1427
20,1701
21,1528
22,1333
23,1452
24,1539
25,1619
26,1533
27,1698
28,1654
29,1453
30,1442
31,1512
32,1571
33,1510
34,1675
35,1497
36,1945
37,1551
38,1814
39,1730
40,1400
41,1374
42,1314
43,2051
44,1921
45,1983
46,1570
47,2338
48,1931
49,2447
50,2208
51,1497
52,2022
53,1964
54,1697
55,1611
56,1910
57,1545
58,1726
59,2047
60,1623
61,1456
62,1990
63,3021
64,1963
65,1353
66,1332
67,1365
68,1474
69,1381
70,1405
71,1735
72,1582
73,1464
74,1438
75,1600
76,1768
77,1518
78,1543
79,1534
80,1299
81,1380
82,1862
83,1301
84,2097
85,1744
86,1985
87,1337
88,2126
89,2209
90,1570
91,2002
92,2414
93,1874
94,1610
95,1717
96,1809
97,1591
98,1543
99,1703
100,1859
101,1554
102,1529
103,2099
104,2432
105,2191
106,2318
107,2757
108,2298
109,2718
110,1536
111,2052
112,2803
113,2224
114,2186
115,2337
116,2287
117,1967
118,2446
119,2937
120,1722
121,1756
122,2156
123,1717
124,1498
125,1511
126,1987
127,3293
128,1899
129,1441
130,1564
131,1619
132,1759
133,1650
134,1699
135,1656
136,1369
137,1534
138,1365
139,2066
140,1658
141,1572
142,1902
143,1666
144,1428
145,1553
146,1812
147,2113
148,1659
149,1936
150,2332
151,1647
152,1651
153,1669
154,2160
155,2237
156,2252
157,2760
158,1874
159,2217
160,2498
161,2397
162,2192
163,2519
164,2842
165,2137
166,1454
167,1622
168,1536
169,1481
170,1577
171,1475
172,1846
173,2145
174,1706
175,1669
176,2021
177,1836
178,2452
179,2701
180,2277
181,1797
182,2083
183,2025
184,2135
185,1843
186,2066
187,2941
188,2222
189,2860
190,2555
191,5769
192,1945
193,1390
194,1543
195,1391
196,1381
197,1579
198,1434
199,2051
200,1693
201,1527
202,1399
203,1475
204,2009
205,1685
206,1601
207,1538
208,1406
209,2252
210,1491
211,1512
212,1422
213,2039
214,1720
215,1460
216,1632
217,1580
218,2043
219,2670
220,2540
221,2389
222,2313
223,2515
224,1831
225,1874
226,1690
227,2772
228,1976
229,2626
230,2466
231,1940
232,2103
233,1791
234,1990
235,1773
236,1719
237,3038
238,3609
239,2742
240,2043
241,1789
242,1975
243,1855
244,1622
245,2823
246,3070
247,4067
248,4203
249,2473
250,2363
251,3326
252,3536
253,3400
254,3271
255,4921
256,2198
257,1568
258,1785
259,1396
260,1404
261,1392
262,1466
263,1445
264,1392
265,1377
266,1553
267,1856
268,1593
269,1483
270,1756
271,1509
272,1520
273,2141
274,1489
275,1527
276,1731
277,1797
278,1828
279,2389
280,2606
281,2492
282,1981
283,2367
284,1882
285,2137
286,2323
287,2500
288,2143
289,1575
290,1443
291,1484
292,2701
293,1570
294,1551
295,1600
296,1559
297,3477
298,3014
299,2195
300,2189
301,3723
302,2675
303,2750
304,3665
305,4388
306,3940
307,2417
308,2931
309,3357
310,2432
311,3288
312,2725
313,2380
314,2685
315,3052
316,2282
317,2456
318,2342
319,7578
320,3303
321,2119
322,1752
323,1718
324,1731
325,1420
326,1708
327,2132
328,1669
329,1724
330,1954
331,1742
332,2456
333,1804
334,1530
335,1423
336,1553
337,1448
338,2023
339,1628
340,1510
341,1424
342,1332
343,1800
344,1601
345,1555
346,2410
347,2509
348,1975
349,1818
350,1578
351,2510
352,2320
353,2875
354,1794
355,3222
356,2214
357,2269
358,2372
359,2031
