,get_latency
0,50
1,30
2,9
3,66
4,25
5,7
6,73
7,27
8,9
9,8
10,24
11,66
12,36
13,122
14,129
15,132
16,29
17,61
18,63
19,52
20,179
21,94
22,25
23,75
24,88
25,139
26,124
27,184
28,126
29,38
30,58
31,89
32,66
33,94
34,162
35,111
36,291
37,66
38,243
39,230
40,69
41,5
42,9
43,454
44,343
45,333
46,161
47,593
48,364
49,620
50,478
51,107
52,386
53,372
54,151
55,141
56,269
57,90
58,220
59,345
60,139
61,19
62,343
63,567
64,130
65,17
66,7
67,21
68,36
69,15
70,38
71,118
72,75
73,17
74,25
75,99
76,161
77,68
78,101
79,111
80,44
81,47
82,261
83,33
84,416
85,263
86,364
87,46
88,425
89,465
90,128
91,403
92,593
93,304
94,249
95,224
96,323
97,160
98,120
99,247
100,330
101,206
102,152
103,398
104,688
105,471
106,551
107,833
108,603
109,837
110,164
111,413
112,879
113,555
114,496
115,662
116,601
117,402
118,578
119,943
120,247
121,236
122,469
123,259
124,61
125,72
126,351
127,473
128,122
129,15
130,80
131,69
132,162
133,112
134,117
135,102
136,12
137,46
138,9
139,314
140,153
141,122
142,293
143,284
144,101
145,145
146,307
147,447
148,188
149,330
150,595
151,109
152,217
153,200
154,449
155,512
156,541
157,812
158,353
159,486
160,682
161,623
162,515
163,710
164,928
165,468
166,31
167,205
168,174
169,33
170,145
171,107
172,318
173,437
174,218
175,170
176,432
177,261
178,688
179,853
180,492
181,178
182,422
183,432
184,429
185,270
186,449
187,976
188,541
189,826
190,785
191,1502
192,167
193,7
194,55
195,21
196,36
197,122
198,46
199,296
200,171
201,85
202,68
203,67
204,320
205,177
206,134
207,85
208,43
209,479
210,79
211,67
212,45
213,387
214,227
215,46
216,155
217,101
218,391
219,771
220,689
221,552
222,559
223,712
224,241
225,256
226,251
227,709
228,312
229,751
230,644
231,335
232,462
233,368
234,468
235,280
236,246
237,1094
238,1424
239,885
240,469
241,279
242,408
243,373
244,174
245,964
246,1088
247,1711
248,1891
249,682
250,619
251,1243
252,1323
253,1420
254,1288
255,550
256,261
257,95
258,154
259,29
260,41
261,43
262,46
263,46
264,29
265,12
266,103
267,272
268,102
269,30
270,206
271,99
272,107
273,389
274,77
275,77
276,209
277,202
278,294
279,575
280,730
281,579
282,362
283,577
284,236
285,467
286,626
287,775
288,574
289,116
290,78
291,100
292,937
293,149
294,110
295,172
296,149
297,1441
298,1091
299,511
300,522
301,1691
302,963
303,916
304,1609
305,2045
306,1774
307,682
308,1114
309,1271
310,726
311,1287
312,932
313,624
314,819
315,1219
316,587
317,649
318,623
319,1891
320,632
321,276
322,118
323,135
324,184
325,22
326,150
327,349
328,135
329,91
330,215
331,175
332,470
333,236
334,102
335,65
336,150
337,110
338,422
339,174
340,129
341,72
342,7
343,286
344,153
345,164
346,674
347,696
348,380
349,233
350,110
351,783
352,582
353,1003
354,250
355,1248
356,627
357,558
358,721
359,400
