,Q2,Q3,Q4,rawData
0,2124,NaN,NaN,NaN
1,1265,NaN,NaN,NaN
2,638,NaN,NaN,NaN
3,791,NaN,NaN,NaN
4,750,NaN,NaN,NaN
5,854,NaN,NaN,NaN
6,680,NaN,NaN,NaN
7,814,NaN,NaN,NaN
8,698,NaN,NaN,NaN
9,689,NaN,NaN,NaN
10,843,NaN,NaN,NaN
11,869,NaN,NaN,NaN
12,986,NaN,NaN,NaN
13,781,NaN,NaN,NaN
14,704,NaN,NaN,NaN
15,751,NaN,NaN,NaN
16,826,NaN,NaN,NaN
17,901,NaN,NaN,NaN
18,934,NaN,NaN,NaN
19,638,NaN,NaN,NaN
20,672,NaN,NaN,NaN
21,947,NaN,NaN,NaN
22,875,NaN,NaN,NaN
23,1232,NaN,NaN,NaN
24,715,NaN,NaN,NaN
25,1046,NaN,NaN,NaN
26,677,NaN,NaN,NaN
27,705,NaN,NaN,NaN
28,1127,NaN,NaN,NaN
29,655,NaN,NaN,NaN
30,1245,NaN,NaN,NaN
31,857,NaN,NaN,NaN
32,835,NaN,NaN,NaN
33,697,NaN,NaN,NaN
34,874,NaN,NaN,NaN
35,636,NaN,NaN,NaN
36,651,NaN,NaN,NaN
37,636,NaN,NaN,NaN
38,743,NaN,NaN,NaN
39,754,NaN,NaN,NaN
40,755,NaN,NaN,NaN
41,692,NaN,NaN,NaN
42,739,NaN,NaN,NaN
43,688,NaN,NaN,NaN
44,797,NaN,NaN,NaN
45,993,NaN,NaN,NaN
46,842,NaN,NaN,NaN
47,962,NaN,NaN,NaN
48,762,NaN,NaN,NaN
49,824,NaN,NaN,NaN
50,934,NaN,NaN,NaN
51,667,NaN,NaN,NaN
52,654,NaN,NaN,NaN
53,844,NaN,NaN,NaN
54,834,NaN,NaN,NaN
55,953,NaN,NaN,NaN
56,1593,NaN,NaN,NaN
57,782,NaN,NaN,NaN
58,834,NaN,NaN,NaN
59,766,NaN,NaN,NaN
60,823,NaN,NaN,NaN
61,942,NaN,NaN,NaN
62,1071,NaN,NaN,NaN
63,826,NaN,NaN,NaN
64,1194,NaN,NaN,NaN
65,823,NaN,NaN,NaN
66,832,NaN,NaN,NaN
67,919,NaN,NaN,NaN
68,773,NaN,NaN,NaN
69,701,NaN,NaN,NaN
70,636,NaN,NaN,NaN
71,693,NaN,NaN,NaN
72,796,NaN,NaN,NaN
73,917,NaN,NaN,NaN
74,870,NaN,NaN,NaN
75,920,NaN,NaN,NaN
76,623,NaN,NaN,NaN
77,942,NaN,NaN,NaN
78,753,NaN,NaN,NaN
79,982,NaN,NaN,NaN
80,935,NaN,NaN,NaN
81,1044,NaN,NaN,NaN
82,1217,NaN,NaN,NaN
83,990,NaN,NaN,NaN
84,690,NaN,NaN,NaN
85,1050,NaN,NaN,NaN
86,773,NaN,NaN,NaN
87,849,NaN,NaN,NaN
88,1107,NaN,NaN,NaN
89,1064,NaN,NaN,NaN
90,1157,NaN,NaN,NaN
91,779,NaN,NaN,NaN
92,1139,NaN,NaN,NaN
93,858,NaN,NaN,NaN
94,866,NaN,NaN,NaN
95,853,NaN,NaN,NaN
96,1060,NaN,NaN,NaN
97,733,NaN,NaN,NaN
98,929,NaN,NaN,NaN
99,773,NaN,NaN,NaN
100,989,NaN,NaN,NaN
101,839,NaN,NaN,NaN
102,1097,NaN,NaN,NaN
103,785,NaN,NaN,NaN
104,732,NaN,NaN,NaN
105,721,NaN,NaN,NaN
106,1138,NaN,NaN,NaN
107,849,NaN,NaN,NaN
108,1254,NaN,NaN,NaN
109,1045,NaN,NaN,NaN
110,927,NaN,NaN,NaN
111,735,NaN,NaN,NaN
112,688,NaN,NaN,NaN
113,645,NaN,NaN,NaN
114,657,NaN,NaN,NaN
115,1019,NaN,NaN,NaN
116,1217,NaN,NaN,NaN
117,1263,NaN,NaN,NaN
118,1050,NaN,NaN,NaN
119,897,NaN,NaN,NaN
120,1051,NaN,NaN,NaN
121,870,NaN,NaN,NaN
122,1098,NaN,NaN,NaN
123,943,NaN,NaN,NaN
124,1568,NaN,NaN,NaN
125,1500,NaN,NaN,NaN
126,1287,NaN,NaN,NaN
127,973,NaN,NaN,NaN
128,1386,NaN,NaN,NaN
129,805,NaN,NaN,NaN
130,685,NaN,NaN,NaN
131,622,NaN,NaN,NaN
132,752,NaN,NaN,NaN
133,685,NaN,NaN,NaN
134,683,NaN,NaN,NaN
135,675,NaN,NaN,NaN
136,1134,NaN,NaN,NaN
137,633,NaN,NaN,NaN
138,896,NaN,NaN,NaN
139,728,NaN,NaN,NaN
140,759,NaN,NaN,NaN
141,624,NaN,NaN,NaN
142,733,NaN,NaN,NaN
143,977,NaN,NaN,NaN
144,833,NaN,NaN,NaN
145,1055,NaN,NaN,NaN
146,1329,NaN,NaN,NaN
147,1174,NaN,NaN,NaN
148,964,NaN,NaN,NaN
149,693,NaN,NaN,NaN
150,1038,NaN,NaN,NaN
151,709,NaN,NaN,NaN
152,854,NaN,NaN,NaN
153,816,NaN,NaN,NaN
154,966,NaN,NaN,NaN
155,825,NaN,NaN,NaN
156,812,NaN,NaN,NaN
157,1562,NaN,NaN,NaN
158,1368,NaN,NaN,NaN
159,1551,NaN,NaN,NaN
160,2600,NaN,NaN,NaN
161,1146,NaN,NaN,NaN
162,826,NaN,NaN,NaN
163,1006,NaN,NaN,NaN
164,617,NaN,NaN,NaN
165,1141,NaN,NaN,NaN
166,799,NaN,NaN,NaN
167,1096,NaN,NaN,NaN
168,810,NaN,NaN,NaN
169,821,NaN,NaN,NaN
170,1085,NaN,NaN,NaN
171,944,NaN,NaN,NaN
172,1033,NaN,NaN,NaN
173,1027,NaN,NaN,NaN
174,862,NaN,NaN,NaN
175,823,NaN,NaN,NaN
176,889,NaN,NaN,NaN
177,1353,NaN,NaN,NaN
178,1447,NaN,NaN,NaN
179,1195,NaN,NaN,NaN
180,1374,NaN,NaN,NaN
181,849,NaN,NaN,NaN
182,1060,NaN,NaN,NaN
183,686,NaN,NaN,NaN
184,914,NaN,NaN,NaN
185,825,NaN,NaN,NaN
186,1071,NaN,NaN,NaN
187,1754,NaN,NaN,NaN
188,963,NaN,NaN,NaN
189,710,NaN,NaN,NaN
190,720,NaN,NaN,NaN
191,1526,NaN,NaN,NaN
192,1731,NaN,NaN,NaN
193,790,NaN,NaN,NaN
194,659,NaN,NaN,NaN
195,831,NaN,NaN,NaN
196,766,NaN,NaN,NaN
197,952,NaN,NaN,NaN
198,634,NaN,NaN,NaN
199,941,NaN,NaN,NaN
200,677,NaN,NaN,NaN
201,708,NaN,NaN,NaN
202,654,NaN,NaN,NaN
203,866,NaN,NaN,NaN
204,763,NaN,NaN,NaN
205,717,NaN,NaN,NaN
206,770,NaN,NaN,NaN
207,656,NaN,NaN,NaN
208,661,NaN,NaN,NaN
209,829,NaN,NaN,NaN
210,763,NaN,NaN,NaN
211,1082,NaN,NaN,NaN
212,645,NaN,NaN,NaN
213,904,NaN,NaN,NaN
214,698,NaN,NaN,NaN
215,1057,NaN,NaN,NaN
216,1078,NaN,NaN,NaN
217,1090,NaN,NaN,NaN
218,1155,NaN,NaN,NaN
219,755,NaN,NaN,NaN
220,751,NaN,NaN,NaN
221,843,NaN,NaN,NaN
222,1589,NaN,NaN,NaN
223,1728,NaN,NaN,NaN
