,Q2_r
0,3968
1,1153
2,739
3,1021
4,750
5,635
6,939
7,703
8,669
9,621
10,678
11,816
12,755
13,1013
14,1026
15,985
16,724
17,789
18,789
19,754
20,1060
21,855
22,708
23,770
24,868
25,1003
26,883
27,1056
28,954
29,753
30,773
31,828
32,820
33,844
34,1022
35,846
36,1244
37,871
38,1109
39,1038
40,768
41,698
42,685
43,1414
44,1270
45,1284
46,943
47,1694
48,1278
49,1717
50,1530
51,849
52,1324
53,1241
54,1016
55,904
56,1164
57,883
58,988
59,1224
60,947
61,803
62,1246
63,2227
64,1201
65,672
66,638
67,680
68,701
69,654
70,694
71,976
72,803
73,717
74,737
75,890
76,1025
77,829
78,847
79,881
80,711
81,727
82,1141
83,695
84,1449
85,1109
86,1301
87,717
88,1399
89,1467
90,860
91,1304
92,1637
93,1212
94,1001
95,1015
96,1149
97,975
98,837
99,994
100,1184
101,904
102,876
103,1311
104,1727
105,1444
106,1561
107,1934
108,1620
109,1944
110,880
111,1258
112,1995
113,1430
114,1418
115,1637
116,1546
117,1305
118,1514
119,2162
120,1021
121,1006
122,1444
123,1012
124,817
125,781
126,1242
127,2522
128,1123
129,666
130,816
131,841
132,1041
133,938
134,930
135,869
136,640
137,776
138,656
139,1275
140,960
141,839
142,1234
143,1065
144,782
145,939
146,1200
147,1401
148,995
149,1206
150,1627
151,884
152,1020
153,1013
154,1415
155,1521
156,1536
157,1982
158,1218
159,1421
160,1688
161,1657
162,1510
163,1678
164,2100
165,1428
166,731
167,970
168,879
169,779
170,926
171,830
172,1165
173,1385
174,1018
175,1006
176,1341
177,1128
178,1634
179,1906
180,1406
181,999
182,1278
183,1270
184,1379
185,1070
186,1340
187,2088
188,1509
189,1883
190,1769
191,4511
192,1170
193,665
194,782
195,680
196,670
197,890
198,723
199,1317
200,1000
201,764
202,720
203,744
204,1311
205,926
206,841
207,790
208,690
209,1397
210,774
211,768
212,700
213,1289
214,969
215,713
216,901
217,814
218,1242
219,1905
220,1673
221,1460
222,1541
223,1681
224,1018
225,1041
226,950
227,1769
228,1100
229,1732
230,1654
231,1168
232,1333
233,1162
234,1273
235,1059
236,1064
237,2192
238,2646
239,1923
240,1309
241,1057
242,1294
243,1161
244,906
245,1986
246,2170
247,2918
248,3307
249,1688
250,1516
251,2407
252,2402
253,2674
254,2556
255,4134
256,1432
257,846
258,1063
259,672
260,684
261,692
262,720
263,715
264,679
265,646
266,809
267,1119
268,850
269,716
270,996
271,757
272,772
273,1343
274,743
275,751
276,979
277,1024
278,1036
279,1569
280,1806
281,1706
282,1154
283,1593
284,1123
285,1339
286,1600
287,1838
288,1503
289,829
290,777
291,829
292,2030
293,918
294,890
295,943
296,870
297,2679
298,2285
299,1376
300,1460
301,2980
302,1949
303,1967
304,2884
305,3449
306,3132
307,1723
308,2201
309,2494
310,1680
311,2446
312,1917
313,1558
314,1907
315,2258
316,1446
317,1614
318,1543
319,6602
320,2476
321,1349
322,966
323,940
324,955
325,659
326,974
327,1301
328,904
329,857
330,1163
331,961
332,1624
333,1054
334,825
335,717
336,892
337,779
338,1357
339,948
340,834
341,735
342,664
343,1102
344,941
345,851
346,1701
347,1735
348,1256
349,1068
350,868
351,1772
352,1549
353,2140
354,1056
355,2421
356,1498
357,1545
358,1644
359,1243
