,Q2,Q3,Q4,rawData
0,3146,NaN,NaN,NaN
1,1306,NaN,NaN,NaN
2,778,NaN,NaN,NaN
3,886,NaN,NaN,NaN
4,800,NaN,NaN,NaN
5,798,NaN,NaN,NaN
6,780,NaN,NaN,NaN
7,908,NaN,NaN,NaN
8,886,NaN,NaN,NaN
9,799,NaN,NaN,NaN
10,836,NaN,NaN,NaN
11,818,NaN,NaN,NaN
12,991,NaN,NaN,NaN
13,893,NaN,NaN,NaN
14,972,NaN,NaN,NaN
15,880,NaN,NaN,NaN
16,849,NaN,NaN,NaN
17,1052,NaN,NaN,NaN
18,997,NaN,NaN,NaN
19,1023,NaN,NaN,NaN
20,1094,NaN,NaN,NaN
21,1092,NaN,NaN,NaN
22,1007,NaN,NaN,NaN
23,1116,NaN,NaN,NaN
24,1049,NaN,NaN,NaN
25,1122,NaN,NaN,NaN
26,1007,NaN,NaN,NaN
27,1128,NaN,NaN,NaN
28,1094,NaN,NaN,NaN
29,1115,NaN,NaN,NaN
30,1139,NaN,NaN,NaN
31,1324,NaN,NaN,NaN
32,1144,NaN,NaN,NaN
33,1296,NaN,NaN,NaN
34,1519,NaN,NaN,NaN
35,1259,NaN,NaN,NaN
36,1244,NaN,NaN,NaN
37,1246,NaN,NaN,NaN
38,1709,NaN,NaN,NaN
39,1197,NaN,NaN,NaN
40,1642,NaN,NaN,NaN
41,1040,NaN,NaN,NaN
42,1337,NaN,NaN,NaN
43,1169,NaN,NaN,NaN
44,1335,NaN,NaN,NaN
45,1419,NaN,NaN,NaN
46,1385,NaN,NaN,NaN
47,1403,NaN,NaN,NaN
48,1525,NaN,NaN,NaN
49,1585,NaN,NaN,NaN
50,1722,NaN,NaN,NaN
51,1989,NaN,NaN,NaN
52,1966,NaN,NaN,NaN
53,2087,NaN,NaN,NaN
54,1642,NaN,NaN,NaN
55,1866,NaN,NaN,NaN
56,2144,NaN,NaN,NaN
57,2116,NaN,NaN,NaN
58,2119,NaN,NaN,NaN
59,1902,NaN,NaN,NaN
60,2083,NaN,NaN,NaN
61,2108,NaN,NaN,NaN
62,2051,NaN,NaN,NaN
63,2936,NaN,NaN,NaN
64,1188,NaN,NaN,NaN
65,882,NaN,NaN,NaN
66,987,NaN,NaN,NaN
67,993,NaN,NaN,NaN
68,833,NaN,NaN,NaN
69,1074,NaN,NaN,NaN
70,839,NaN,NaN,NaN
71,1065,NaN,NaN,NaN
72,1100,NaN,NaN,NaN
73,1087,NaN,NaN,NaN
74,1146,NaN,NaN,NaN
75,1102,NaN,NaN,NaN
76,926,NaN,NaN,NaN
77,1212,NaN,NaN,NaN
78,1455,NaN,NaN,NaN
79,1350,NaN,NaN,NaN
80,1434,NaN,NaN,NaN
81,1296,NaN,NaN,NaN
82,1691,NaN,NaN,NaN
83,1391,NaN,NaN,NaN
84,1360,NaN,NaN,NaN
85,1402,NaN,NaN,NaN
86,1186,NaN,NaN,NaN
87,1837,NaN,NaN,NaN
88,1504,NaN,NaN,NaN
89,1778,NaN,NaN,NaN
90,1508,NaN,NaN,NaN
91,1735,NaN,NaN,NaN
92,2038,NaN,NaN,NaN
93,2069,NaN,NaN,NaN
94,1745,NaN,NaN,NaN
95,1905,NaN,NaN,NaN
96,2127,NaN,NaN,NaN
97,1956,NaN,NaN,NaN
98,2177,NaN,NaN,NaN
99,2235,NaN,NaN,NaN
100,2813,NaN,NaN,NaN
101,2284,NaN,NaN,NaN
102,2631,NaN,NaN,NaN
103,2331,NaN,NaN,NaN
104,2836,NaN,NaN,NaN
105,2671,NaN,NaN,NaN
106,2649,NaN,NaN,NaN
107,2488,NaN,NaN,NaN
108,2889,NaN,NaN,NaN
109,2785,NaN,NaN,NaN
110,2742,NaN,NaN,NaN
111,3234,NaN,NaN,NaN
112,3420,NaN,NaN,NaN
113,3425,NaN,NaN,NaN
114,3746,NaN,NaN,NaN
115,3795,NaN,NaN,NaN
116,3772,NaN,NaN,NaN
117,4103,NaN,NaN,NaN
118,4218,NaN,NaN,NaN
119,4159,NaN,NaN,NaN
120,4503,NaN,NaN,NaN
121,4081,NaN,NaN,NaN
122,4050,NaN,NaN,NaN
123,4993,NaN,NaN,NaN
124,4827,NaN,NaN,NaN
125,4180,NaN,NaN,NaN
126,5080,NaN,NaN,NaN
127,7628,NaN,NaN,NaN
128,2198,NaN,NaN,NaN
129,1243,NaN,NaN,NaN
130,1098,NaN,NaN,NaN
131,1250,NaN,NaN,NaN
132,1094,NaN,NaN,NaN
133,959,NaN,NaN,NaN
134,1183,NaN,NaN,NaN
135,1213,NaN,NaN,NaN
136,1063,NaN,NaN,NaN
137,1312,NaN,NaN,NaN
138,1501,NaN,NaN,NaN
139,1259,NaN,NaN,NaN
140,1301,NaN,NaN,NaN
141,1640,NaN,NaN,NaN
142,1775,NaN,NaN,NaN
143,1376,NaN,NaN,NaN
144,1661,NaN,NaN,NaN
145,2133,NaN,NaN,NaN
146,1986,NaN,NaN,NaN
147,1604,NaN,NaN,NaN
148,1839,NaN,NaN,NaN
149,2159,NaN,NaN,NaN
150,2034,NaN,NaN,NaN
151,2101,NaN,NaN,NaN
152,1550,NaN,NaN,NaN
153,2020,NaN,NaN,NaN
154,1993,NaN,NaN,NaN
155,1763,NaN,NaN,NaN
156,2532,NaN,NaN,NaN
157,2168,NaN,NaN,NaN
158,1914,NaN,NaN,NaN
159,2541,NaN,NaN,NaN
160,2341,NaN,NaN,NaN
161,3429,NaN,NaN,NaN
162,2996,NaN,NaN,NaN
163,3049,NaN,NaN,NaN
164,3253,NaN,NaN,NaN
165,3327,NaN,NaN,NaN
166,3089,NaN,NaN,NaN
167,3240,NaN,NaN,NaN
168,3366,NaN,NaN,NaN
169,3549,NaN,NaN,NaN
170,4089,NaN,NaN,NaN
171,4828,NaN,NaN,NaN
172,4108,NaN,NaN,NaN
173,3864,NaN,NaN,NaN
174,4301,NaN,NaN,NaN
175,4819,NaN,NaN,NaN
176,6048,NaN,NaN,NaN
177,5754,NaN,NaN,NaN
178,6501,NaN,NaN,NaN
179,6746,NaN,NaN,NaN
180,7387,NaN,NaN,NaN
181,7802,NaN,NaN,NaN
182,8139,NaN,NaN,NaN
183,8778,NaN,NaN,NaN
184,9175,NaN,NaN,NaN
185,8924,NaN,NaN,NaN
186,10932,NaN,NaN,NaN
187,11545,NaN,NaN,NaN
188,12297,NaN,NaN,NaN
189,12611,NaN,NaN,NaN
190,14282,NaN,NaN,NaN
191,19532,NaN,NaN,NaN
192,4962,NaN,NaN,NaN
193,1668,NaN,NaN,NaN
194,1390,NaN,NaN,NaN
195,1058,NaN,NaN,NaN
196,1327,NaN,NaN,NaN
197,1300,NaN,NaN,NaN
198,1093,NaN,NaN,NaN
199,1281,NaN,NaN,NaN
200,1621,NaN,NaN,NaN
201,1105,NaN,NaN,NaN
202,1483,NaN,NaN,NaN
203,1605,NaN,NaN,NaN
204,1708,NaN,NaN,NaN
205,1934,NaN,NaN,NaN
206,1872,NaN,NaN,NaN
207,1636,NaN,NaN,NaN
208,1653,NaN,NaN,NaN
209,2110,NaN,NaN,NaN
210,2052,NaN,NaN,NaN
211,2287,NaN,NaN,NaN
212,2039,NaN,NaN,NaN
213,2427,NaN,NaN,NaN
214,2785,NaN,NaN,NaN
215,2370,NaN,NaN,NaN
216,3103,NaN,NaN,NaN
217,3045,NaN,NaN,NaN
218,3662,NaN,NaN,NaN
219,3455,NaN,NaN,NaN
220,4352,NaN,NaN,NaN
221,4313,NaN,NaN,NaN
222,4368,NaN,NaN,NaN
