,total_commit
0,1094
1,671
2,609
3,647
4,602
5,577
6,636
7,580
8,602
9,572
10,580
11,593
12,628
13,654
14,644
15,617
16,627
17,611
18,625
19,602
20,619
21,621
22,620
23,585
24,655
25,661
26,598
27,625
28,661
29,641
30,632
31,621
32,659
33,634
34,660
35,609
36,673
37,736
38,662
39,646
40,623
41,658
42,636
43,640
44,667
45,700
46,675
47,663
48,686
49,659
50,684
51,668
52,671
53,625
54,718
55,674
56,678
57,728
58,624
59,634
60,682
61,711
62,679
63,1291
64,622
65,577
66,585
67,586
68,571
69,582
70,568
71,622
72,610
73,649
74,637
75,623
76,638
77,631
78,608
79,621
80,586
81,597
82,593
83,613
84,624
85,630
86,630
87,615
88,610
89,609
90,630
91,590
92,637
93,651
94,596
95,604
96,631
97,679
98,590
99,602
100,612
101,584
102,615
103,619
104,614
105,686
106,693
107,616
108,650
109,633
110,634
111,589
112,647
113,570
114,643
115,629
116,629
117,676
118,630
119,734
120,626
121,661
122,677
123,627
124,674
125,651
126,707
127,1848
128,628
129,597
130,583
131,625
132,615
133,636
134,643
135,643
136,593
137,656
138,615
139,600
140,609
141,617
142,622
143,556
144,555
145,649
146,634
147,612
148,609
149,619
150,576
151,619
152,604
153,641
154,609
155,625
156,607
157,632
158,609
159,603
160,599
161,624
162,653
163,580
164,647
165,650
166,630
167,634
168,593
169,661
170,657
171,624
172,630
173,664
174,640
175,718
176,664
177,662
178,629
179,621
180,668
181,654
182,625
183,614
184,672
185,650
186,663
187,631
188,696
189,666
190,666
191,2383
192,600
193,608
194,609
195,610
196,574
197,606
198,596
199,633
200,590
201,567
202,601
203,607
204,659
205,582
206,582
207,590
208,596
209,557
210,614
211,621
212,604
213,614
214,596
215,619
216,618
217,611
218,604
219,641
220,604
221,578
222,633
223,625
224,613
225,616
226,579
227,652
228,651
229,632
230,670
231,656
232,623
233,634
234,594
235,637
236,666
237,624
238,610
239,645
240,636
241,629
242,675
243,647
244,654
245,632
246,631
247,579
248,678
249,685
250,640
251,703
252,583
253,702
254,717
255,3362
256,581
257,577
258,629
259,581
260,561
261,568
262,603
263,594
264,590
265,595
266,593
267,596
268,611
269,624
270,618
271,570
272,566
273,605
274,604
275,605
276,593
277,628
278,577
279,625
280,625
281,741
282,624
283,700
284,695
285,659
286,662
287,632
288,644
289,612
290,624
291,628
292,703
293,675
294,700
295,671
296,599
297,675
298,684
299,626
300,638
301,632
302,610
303,632
304,645
305,593
306,721
307,701
308,698
309,643
310,722
311,643
312,683
313,721
314,703
315,661
316,653
317,676
318,672
319,4061
320,660
321,597
322,631
323,586
324,562
325,593
326,596
327,576
328,606
329,657
330,703
331,651
332,683
333,647
334,626
335,586
336,603
337,584
338,603
339,648
340,612
341,597
342,629
343,603
344,659
345,600
346,661
347,622
348,659
349,677
350,657
351,659
352,632
353,648
354,612
355,642
356,610
357,645
358,638
359,665
