,input_rows
0,1300000
1,2340000
2,780000
3,520000
4,520000
5,520000
6,260000
7,520000
8,520000
9,520000
10,520000
11,520000
12,520000
13,520000
14,520000
15,520000
16,520000
17,520000
18,520000
19,520000
20,780000
21,520000
22,520000
23,520000
24,780000
25,520000
26,520000
27,520000
28,780000
29,780000
30,260000
31,520000
32,780000
33,520000
34,520000
35,780000
36,780000
37,780000
38,780000
39,780000
40,780000
41,780000
42,780000
43,780000
44,1040000
45,1040000
46,780000
47,1040000
48,1300000
49,1040000
50,1040000
51,1040000
52,1560000
53,1040000
54,1040000
55,1300000
56,1820000
57,1560000
58,1820000
59,2080000
60,2600000
61,2340000
62,2600000
63,2860000
64,4420000
