,total_duration
0,8868
1,3101
2,2034
3,2212
4,1793
5,1848
6,1770
7,2235
8,1918
9,1995
10,1928
11,2309
12,1958
13,1977
14,1966
15,2454
16,2012
17,2013
18,2110
19,2634
20,2353
21,2091
22,2149
23,2623
24,2338
25,2194
26,2335
27,3032
28,2575
29,2696
30,1913
31,2928
32,2652
33,2244
34,2429
35,3635
36,2715
37,2864
38,3062
39,3969
40,2846
41,3125
42,3261
43,4183
44,3563
45,3866
46,3513
47,5499
48,4293
49,3976
50,4357
51,5786
52,5434
53,4505
54,4935
55,7344
56,6507
57,6738
58,8313
59,10838
60,9666
61,10451
62,12583
63,16869
64,18673
