,Q2,Q3,Q4,rawData
0,6502,NaN,NaN,NaN
1,1955,NaN,NaN,NaN
2,1076,NaN,NaN,NaN
3,925,NaN,NaN,NaN
4,998,NaN,NaN,NaN
5,939,NaN,NaN,NaN
6,799,NaN,NaN,NaN
7,743,NaN,NaN,NaN
8,905,NaN,NaN,NaN
9,754,NaN,NaN,NaN
10,934,NaN,NaN,NaN
11,929,NaN,NaN,NaN
12,690,NaN,NaN,NaN
13,895,NaN,NaN,NaN
14,884,NaN,NaN,NaN
15,863,NaN,NaN,NaN
16,879,NaN,NaN,NaN
17,981,NaN,NaN,NaN
18,886,NaN,NaN,NaN
19,1070,NaN,NaN,NaN
20,832,NaN,NaN,NaN
21,1114,NaN,NaN,NaN
22,726,NaN,NaN,NaN
23,873,NaN,NaN,NaN
24,748,NaN,NaN,NaN
25,1132,NaN,NaN,NaN
26,670,NaN,NaN,NaN
27,784,NaN,NaN,NaN
28,1104,NaN,NaN,NaN
29,1036,NaN,NaN,NaN
30,1123,NaN,NaN,NaN
31,772,NaN,NaN,NaN
32,1116,NaN,NaN,NaN
33,666,NaN,NaN,NaN
34,820,NaN,NaN,NaN
35,726,NaN,NaN,NaN
36,1196,NaN,NaN,NaN
37,1077,NaN,NaN,NaN
38,1221,NaN,NaN,NaN
39,966,NaN,NaN,NaN
40,1172,NaN,NaN,NaN
41,829,NaN,NaN,NaN
42,1016,NaN,NaN,NaN
43,906,NaN,NaN,NaN
44,1309,NaN,NaN,NaN
45,997,NaN,NaN,NaN
46,696,NaN,NaN,NaN
47,943,NaN,NaN,NaN
48,958,NaN,NaN,NaN
49,905,NaN,NaN,NaN
50,1238,NaN,NaN,NaN
51,1020,NaN,NaN,NaN
52,1268,NaN,NaN,NaN
53,651,NaN,NaN,NaN
54,1270,NaN,NaN,NaN
55,1589,NaN,NaN,NaN
56,717,NaN,NaN,NaN
57,853,NaN,NaN,NaN
58,1562,NaN,NaN,NaN
59,955,NaN,NaN,NaN
60,1086,NaN,NaN,NaN
61,1248,NaN,NaN,NaN
62,1192,NaN,NaN,NaN
63,1492,NaN,NaN,NaN
64,816,NaN,NaN,NaN
65,1048,NaN,NaN,NaN
66,1281,NaN,NaN,NaN
67,1965,NaN,NaN,NaN
68,1837,NaN,NaN,NaN
69,1744,NaN,NaN,NaN
70,1496,NaN,NaN,NaN
71,1645,NaN,NaN,NaN
72,1552,NaN,NaN,NaN
73,2075,NaN,NaN,NaN
74,1785,NaN,NaN,NaN
75,1187,NaN,NaN,NaN
76,1130,NaN,NaN,NaN
77,1059,NaN,NaN,NaN
78,1835,NaN,NaN,NaN
79,1387,NaN,NaN,NaN
80,1133,NaN,NaN,NaN
81,1248,NaN,NaN,NaN
82,2013,NaN,NaN,NaN
83,1295,NaN,NaN,NaN
